name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
The Brewmaster,4.3,"Infinity Benchmark,",Salt Lake,"1,200 for 2 (approx)",North Indian,Chinese,Continental
Chai Break Cafe & Bar - Sector 5,4.2,"RDB Boulevard,",Salt Lake,"1,000 for 2 (approx)",Chinese,Italian,Mexican
35 Bar N Lounge,4.3,"The Samilton Hotel,",Sarat Bose Road,"1,200 for 2 (approx)",North Indian,Chinese,Continental
The Bhoj Company,4.0,"PS Srijan Corporate Park,",Salt Lake,600 for 2 (approx),Bengali,Chinese,North Indian
10 Downing Street,4.3,"PS Srijan Corporate Park,",Salt Lake,"1,600 for 2 (approx)",Finger Food,Chinese,North Indian
The Spirits,4.1,"Globsyn Crystals Building,",Salt Lake,"2,600 for 2 (approx)",North Indian,Chinese,Continental
The Brewhive,4.3,"PS Srijan Corporate Park,",Salt Lake,"1,800 for 2 (approx)",Continental,Finger Food,Italian
Jaisalmer Sonar Kella,3.9,"Globsyn Crystals Building,",Salt Lake,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Yak Brewing Co. Kolkata,4.0,"RDB Boulevard,",Salt Lake,"1,000 for 2 (approx)",Chinese,Tibetan,Sushi
Chowman,4.4,Ballygunge,South Kolkata,"1,000 for 2 (approx)",Chinese,Asian,Thai
The Flaming Bowl,4.4,Bhawanipur,South Kolkata,"1,000 for 2 (approx)",Chinese,Thai,North Indian
Roll It Out,3.8,"RDB Boulevard,",Salt Lake,600 for 2 (approx),Fast Food,Chinese,Beverages
Hi - Tribe,3.7,"Globsyn Crystals Building,",Salt Lake,"1,200 for 2 (approx)",North Indian,Chinese,Continental
Mamasan,4.2,Ballygunge,South Kolkata,"1,200 for 2 (approx)",Japanese,Chinese,Thai
Bistro Y,4.2,Salt Lake,East Kolkata,"1,700 for 2 (approx)",North Indian,Chinese,Continental
Tipsy Tiger,4.3,"The Meridian Building,",Salt Lake,"2,600 for 2 (approx)",Italian,North Indian,Continental
Raize The Bar,4.4,"Godrej Waterside,",Salt Lake,"2,000 for 2 (approx)",Chinese,North Indian,Continental
Ocean Grill,3.6,"Infinity Benchmark,",Salt Lake,"1,500 for 2 (approx)",Chinese,North Indian,Italian
Perfect Place In Town,4.2,"Stesalit Towers,",Salt Lake,"2,000 for 2 (approx)",North Indian,Continental,Finger Food
Kinz,4.4,Shibpur,Howrah,700 for 2 (approx),Chinese,North Indian,Mughlai
La Cocina,4.1,Sarat Bose Road,South Kolkata,600 for 2 (approx),North Indian,Chinese,Continental
Sadda Haq,4.0,Ballygunge,South Kolkata,800 for 2 (approx),North Indian,Fast Food,Continental
Toasted N Roasted,4.3,Salt Lake,East Kolkata,500 for 2 (approx),North Indian,Chinese,Fast Food
Club Fenicia,4.1,"Godrej Waterside,",Salt Lake,"2,200 for 2 (approx)",Asian,Italian,North Indian
Fly Kouzina,4.2,Ballygunge,South Kolkata,"1,400 for 2 (approx)",North Indian,Chinese,Continental
Melting Pot,4.2,Ballygunge,South Kolkata,700 for 2 (approx),Chinese,Continental,Fast Food
Mainland China,3.9,"Avani Riverside Mall,",Shibpur,"1,200 for 2 (approx)",Chinese,Asian,Thai
Spicy AF,4.0,Salt Lake,East Kolkata,600 for 2 (approx),North Indian,Chinese,Fast Food
Baccara,3.7,Bhawanipur,South Kolkata,"1,000 for 2 (approx)",Continental,Asian,Italian
