name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
The London Nail Art & Cafe,3.8,Lake Town,East Kolkata,500 for 2 (approx),Italian,Fast Food,
Mastani Shaam,,Lake Town,East Kolkata,100 for 2 (approx),Fast Food,Beverages,
SkyDeck- Polo Floatel Calcutta,4.4,"Floatel Hotel,",B B D Bagh,"2,300 for 2 (approx)",Continental,Asian,Chinese
Oh! Calcutta,,"Silver Arcade,",JBS Haldane Avenue,"1,800 for 2 (approx)",Bengali,,
Mocambo,4.3,Park Street,Central Kolkata,"1,000 for 2 (approx)",Continental,Italian,North Indian
The GRID,4.3,"Haute Street Corporate Park,",Topsia,"3,000 for 2 (approx)",Finger Food,North Indian,Italian
Sunset Resto Bar Lounge,3.5,Taltala,Central Kolkata,"2,300 for 2 (approx)",North Indian,Chinese,
Urban Masala,4.2,Lake Town,East Kolkata,800 for 2 (approx),Chinese,North Indian,Fast Food
Nebulal's,,Shyambazar,North Kolkata,200 for 2 (approx),North Indian,,
Blue Sapphire,,"Sapphire Suites Hotel,",Esplanade,"1,000 for 2 (approx)",North Indian,Chinese,Bengali
Bridge Bistro Bar,4.3,"Floatel Hotel,",B B D Bagh,"2,500 for 2 (approx)",Chinese,Continental,Mughlai
Kwality Restaurant,4.1,Park Street,Central Kolkata,"1,000 for 2 (approx)",North Indian,Fast Food,
Nocturne,4.2,"Jasmine Tower,",Shakespeare Sarani,"1,500 for 2 (approx)",Finger Food,Italian,
7 Days,,Salt Lake,East Kolkata,730 for 2 (approx),North Indian,,
Cotts n Coco,,Lake Town,East Kolkata,400 for 2 (approx),Fast Food,Beverages,
Pa Pa Ya,,Park Street,Central Kolkata,"2,100 for 2 (approx)",Chinese,Japanese,Asian
KFC,,"City Centre 1,",Salt Lake,600 for 2 (approx),Burger,Fast Food,
Vintage Asia,4.4,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"3,200 for 2 (approx)",Asian,Cantonese,Tibetan
ROSK,3.8,Park Street,Central Kolkata,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Hard Rock Cafe,4.4,"Park Mansion,",Park Street,"2,500 for 2 (approx)",American,Continental,North Indian
Mainland China,,"Silver Arcade,",JBS Haldane Avenue,"1,200 for 2 (approx)",Chinese,Asian,
AM2PM Cafe,,Bidhannagar,East Kolkata,600 for 2 (approx),North Indian,Chinese,Italian
Carpe Diem,4.4,Park Street,Central Kolkata,"2,300 for 2 (approx)",Italian,North Indian,Chinese
House of Royals,,Salt Lake,East Kolkata,800 for 2 (approx),North Indian,,
Flurys,4.4,Park Street,Central Kolkata,"1,300 for 2 (approx)",Desserts,Fast Food,
The Zafran,,Topsia,East Kolkata,800 for 2 (approx),Chinese,North Indian,Biryani
Wow! China Diner,4.3,Park Street,Central Kolkata,700 for 2 (approx),Chinese,Asian,
Rasna Buzz,,Salt Lake,East Kolkata,500 for 2 (approx),Fast Food,Desserts,
The Accord,4,Park Street,Central Kolkata,"1,000 for 2 (approx)",Chinese,North Indian,
Aqua,4.1,"The Park Hotel,",Park Street,"3,500 for 2 (approx)",Finger Food,Continental,North Indian
Ground Zero,,Topsia,East Kolkata,"2,000 for 2 (approx)",Continental,Chinese,Asian
21 PLUS,4,Park Street,Central Kolkata,"1,000 for 2 (approx)",Fast Food,North Indian,Chinese
AB's - Absolute Barbecues,4.2,Park Street,Central Kolkata,"1,650 for 2 (approx)",North Indian,,
Awesome,,Salt Lake,East Kolkata,900 for 2 (approx),Chinese,Japanese,Asian
Subway,4.1,"Park Mansion,",Park Street,500 for 2 (approx),Fast Food,,
Fumi Villa,,Park Street,Central Kolkata,900 for 2 (approx),Continental,Fast Food,Chinese
6 Ballygunge Place,,Topsia,East Kolkata,800 for 2 (approx),Bengali,,
KFC,4.3,Park Street,Central Kolkata,600 for 2 (approx),Burger,Fast Food,
The Bridge,4.1,"The Park Hotel,",Park Street,"2,500 for 2 (approx)",Continental,North Indian,Asian
Griffin Bar,4.3,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"2,000 for 2 (approx)",Finger Food,,
